distrito_sanitario_especial_indigena;exist_estrut_perc_ald_banheiro_particular;exist_estrut_perc_ald_casinha_latrina;exist_estrut_perc_ald_melhorias_sanits_domic_mds_indiv_coletiv;exist_estrut_perc_ald_coleta_pela_rede_publica;exist_estrut_perc_ald_sem_estrutura;est_conserv_estrut_perc_ald_estrut_exist_insatisfatoria;tipo_trat_esgoto_perc_ald_sem_informacao;tipo_trat_esgoto_perc_ald_sem_tratamento;Coleta_dest_resid_solid_perc_ald_Prefeitura_e_principl_resp;Coleta_dest_resid_solid_perc_ald_propria_aldeia_e_principl_resp;Coleta_dest_resid_solid_perc_ald_onde_nao_ha_info_os_resp;dest_resid_org_perc_ald_resid_org_alimentacao_animais;dest_resid_org_perc_ald_dest_os_resid_org_junto_resid_comuns;Possui_vala_constr_comun_perc_ald_com_pres_valas_constr_comun;prat_queima_resid_comun_perc_ald_pos_prat_queima_resid;prat_queima_resid_comun_perc_ald_nao_pos_prat_queima_resid;Logistica_reversa_perc_ald_realizam_logistica_reserva;numero_de_aldeias;populacao_total;populacao_sem_fornecimento;perc_aldeia_sem_fornecimento;perc_aldeia_abastecimento_caminhão_pipa;populacao_total_abastecimento_por_caminhao_pipa;populacao_total_com_infraestrutura_de_abastecimento;perc_aldeias_com_infraestrutura;Satisfatorio_pop;Satisfatorio_perc_aldeia;Requer_manutencao_pop;Requer_manutencao-perc_aldeia;Sem_info_perc_aldeia;N_aldeias_PMQAI;Media_do_numero_de_aldeias_monitoradas_no_mes_com_analise_dos_6_parametros;perc_de_aldeias_monitoradas_em_relação_ao_PMQAI_planejado;perc_de_aldeias_monitoradas_em_relacao_ao_total; N_aldeia;Pop_Beneficiada;Valor;D1_Media;D1_Taxa;D2_Media;D2_Taxa;D3_Media;D3_Taxa;D4_Media;D4_Taxa;D5_Media;D5_Taxa
ALAGOAS E SERGIPE;91%;0%;0%;9%;0%;9%;100%;0%;61%;0%;39%;100%;0%;45%;45%;55%;0%;33;13243;0;0%;42,40%;2445;10798;58%;7949;48%;2849;9%;0%;32;1;4%;4%;9;5944;R$ 2.830.725,51;0,80;0,06;;;1,90;0,14;0,40;0,03;0,10;0,01
ALTAMIRA;3%;0%;14%;0%;83%;0%;100%;0%;1%;98%;1%;0%;100%;99%;99%;1%;0%;104;4756;1330;45%;0,00%;;3426;55%;706;16%;2516;33%;2%;24;0;0%;0%;;;;1,00;0,21;0,20;0,04;1,30;0,27;3,60;0,76;0,40;0,08
ALTO RIO JURUÁ;12%;17%;0%;0%;71%;0%;100%;0%;6%;91%;3%;99%;0%;0%;94%;6%;0%;159;18812;6456;48%;0,00%;;12356;52%;7235;33%;3805;12%;8%;23;13;56%;8%;7;797;R$ 1.014.324,10;1,70;0,09;1,10;0,06;0,70;0,04;3,20;0,17;;
ALTO RIO NEGRO;1%;1%;0%;0%;98%;0%;100%;0%;8%;28%;62%;23%;77%;8%;90%;10%;0%;671;27313;24494;96%;0,00%;;2819;4%;743;1%;1463;2%;0%;33;1;4%;0%;;;;2,20;0,08;10,30;0,38;5,70;0,21;11,50;0,42;2,20;0,08
ALTO RIO PURUS;0%;96%;4%;0%;0%;0%;100%;0%;0%;100%;0%;100%;0%;100%;100%;0%;0%;164;11299;5810;67%;1,20%;277;5212;32%;953;5%;4259;26%;0%;15;0;0%;0%;3;719;R$ 7.613.708,63;1,20;0,11;2,00;0,18;4,30;0,38;11,50;1,02;1,00;0,09
ALTO RIO SOLIMÕES;0%;100%;0%;0%;0%;0%;100%;0%;2%;0%;98%;100%;0%;0%;100%;0%;0%;241;69990;32569;76%;0,00%;;37421;24%;32523;21%;4898;4%;0%;62;0;0%;0%;12;4805;R$ 9.928.268,91;3,40;0,05;23,60;0,34;11,20;0,16;14,90;0,21;0,70;0,01
AMAPÁ E NORTE DO PARÁ;0%;0%;1%;0%;99%;0%;92%;0%;18%;75%;7%;0%;100%;0%;100%;0%;0%;151;13655;7736;72%;0,00%;;5919;28%;0;0%;5537;23%;1%;10;0;0%;0%;3;898;R$ 3.977.240,90;1,60;0,12;0,60;0,04;0,40;0,03;0,30;0,02;0,00;0,00
ARAGUAIA;21%;0%;48%;0%;31%;0%;0%;31%;10%;90%;0%;100%;0%;0%;90%;10%;0%;42;5610;335;14%;0,00%;;5275;86%;624;24%;4572;50%;0%;17;13;79%;32%;3;2177;R$ 3.182.983,67;0,10;0,02;4,10;0,73;0,20;0,04;1,10;0,20;0,10;0,02
BAHIA;9%;0%;1%;0%;0%;0%;100%;0%;8%;1%;91%;0%;9%;0%;5%;4%;0%;145;35004;5840;32%;6,20%;764;28400;62%;401;3%;16981;41%;16%;36;0;0%;0%;21;4975;R$ 5.877.715,62;0,40;0,01;0,30;0,01;0,40;0,01;0,50;0,01;0,30;0,01
CEARÁ;92%;0%;0%;0%;1%;0%;100%;0%;27%;0%;73%;0%;85%;0%;65%;28%;0%;113;26966;756;9%;9,70%;546;25664;81%;4540;17%;5531;36%;25%;49;41;84%;36%;16;13351;R$ 12.874.370,18;1,10;0,04;1,60;0,06;2,50;0,09;0,60;0,02;0,50;0,02
CUIABÁ;16%;0%;0%;0%;84%;0%;100%;0%;0%;0%;100%;0%;100%;100%;100%;0%;0%;201;7819;574;24%;0,00%;;7245;76%;1392;22%;5021;37%;0%;40;0;0%;0%;8;455;R$ 4.061.641,27;0,40;0,05;0,40;0,05;2,40;0,31;0,80;0,10;0,70;0,09
GUAMÁ-TOCANTINS;65%;23%;0%;0%;13%;0%;100%;0%;8%;84%;0%;100%;0%;0%;100%;0%;10%;212;22356;2220;23%;0,00%;;20136;77%;1912;12%;18224;65%;0%;52;0;0%;0%;;3597;R$ 5.353.526,00;0,90;0,04;0,50;0,02;1,30;0,06;0,90;0,04;;
INTERIOR SUL;0%;1%;57%;0%;7%;0%;100%;0%;99%;0%;1%;0%;100%;26%;100%;0%;0%;197;36300;0;0%;8,10%;674;35626;92%;26586;69%;8972;23%;1%;71;0;0%;0%;21;3639;R$ 6.641.642,98;2,00;0,06;1,20;0,03;2,70;0,07;1,00;0,03;0,70;0,02
KAIAPÓ DO MATO GROSSO;0%;0%;0%;0%;100%;0%;100%;0%;8%;92%;0%;100%;0%;100%;100%;0%;100%;71;5007;892;54%;0,00%;;4115;46%;3904;42%;211;4%;0%;32;2;6%;3%;5;894;R$ 3.515.501,56;0,30;0,06;0,10;0,02;0,50;0,10;0,20;0,04;0,20;0,04
KAIAPÓ DO PARÁ;0%;0%;13%;0%;86%;0%;100%;0%;6%;93%;1%;99%;0%;6%;93%;6%;26%;72;6444;519;22%;0,00%;;5925;78%;1490;21%;4107;46%;0%;52;20;38%;28%;11;1548;R$ 5.508.655,00;0,70;0,11;0,10;0,02;2,00;0,31;3,20;0,50;0,00;0,00
LESTE DE RORAIMA;0%;100%;0%;0%;0%;0%;100%;0%;1%;99%;0%;0%;99%;17%;100%;0%;0%;338;54232;2718;14%;0,00%;;51514;86%;50202;82%;521;1%;2%;44;0;0%;0%;13;2575;R$ 7.077.100,04;3,00;0,06;6,20;0,11;6,10;0,11;3,30;0,06;0,40;0,01
LITORAL SUL;0%;1%;98%;0%;1%;0%;11%;0%;76%;24%;0%;0%;74%;22%;98%;2%;2%;129;24252;0;0%;0,00%;;24252;100%;0;0%;24252;100%;0%;39;37;95%;29%;4;672;R$ 6.641.642,98;0,90;0,04;3,50;0,14;2,60;0,11;1,70;0,07;0,50;0,02
MANAUS;0%;0%;2%;0%;98%;0%;98%;0%;3%;92%;0%;76%;0%;98%;94%;6%;24%;266;31181;15658;70%;0,00%;;15523;30%;1109;3%;11841;24%;0%;58;0;0%;0%;13;4619;R$ 2.414.267,30;1,30;0,04;0,80;0,03;1,80;0,06;1,00;0,03;0,50;0,02
MARANHÃO;1%;0%;4%;0%;54%;0%;64%;31%;0%;0%;100%;74%;22%;22%;95%;1%;0%;684;40147;3537;24%;20,00%;3941;32669;56%;25591;35%;3487;5%;17%;127;65;51%;9%;5;1779;R$ 3.135.844,04;3,30;0,08;4,20;0,10;3,70;0,09;4,10;0,10;1,90;0,05
MATO GROSSO DO SUL;0%;0%;0%;0%;99%;0%;0%;0%;0%;100%;0%;100%;0%;100%;100%;0%;0%;103;78750;1350;12%;7,80%;1133;76267;81%;58589;68%;17598;12%;1%;71;1;1%;1%;8;11557;R$ 9.593.280,11;6,50;0,08;25,50;0,32;17,90;0,23;7,40;0,09;2,40;0,03
MÉDIO RIO PURUS;100%;0%;0%;0%;0%;99%;0%;0%;7%;92%;1%;0%;100%;100%;0%;100%;0%;122;8597;2788;48%;0,00%;;5809;52%;5638;51%;0;0%;2%;33;0;0%;0%;3;898;R$ 3.977.240,90;0,50;0,06;2,20;0,26;0,80;0,09;0,50;0,06;0,40;0,05
MÉDIO RIO SOLIMÕES E AFLUENTES;2%;19%;0%;0%;79%;0%;0%;99%;2%;0%;98%;97%;2%;0%;100%;0%;0%;205;20720;7733;61%;0,00%;;12987;39%;9803;28%;2739;7%;3%;28;13;48%;7%;1;725;R$ 768.645,69;3,20;0,15;8,10;0,39;3,80;0,18;13,30;0,64;0,90;0,04
MINAS GERAIS E ESPÍRITO SANTO;14%;1%;84%;0%;1%;0%;0%;0%;42%;2%;23%;100%;0%;0%;73%;27%;7%;102;17527;20;1%;10,80%;795;16712;88%;3327;11%;13385;77%;0%;65;20;31%;20%;5;2211;R$ 2.994.186,55;1,00;0,06;1,70;0,10;2,20;0,13;3,10;0,18;0,50;0,03
PARINTINS;99%;0%;1%;0%;0%;0%;0%;0%;0%;100%;0%;100%;0%;100%;100%;0%;0%;145;16730;3657;46%;0,00%;;13073;54%;1086;4%;10452;42%;1%;55;46;84%;32%;3;323;R$ 2.357.628,46;0,90;0,05;0,40;0,02;0,80;0,05;0,40;0,02;0,20;0,01
PERNAMBUCO;91%;0%;6%;0%;3%;21%;0%;24%;11%;0%;88%;95%;4%;0%;100%;0%;0%;228;41484;1824;15%;13,20%;3755;35905;72%;22640;46%;7734;14%;0%;139;59;42%;26%;23;2476;R$ 9.713.168,93;2,90;0,07;1,90;0,05;2,10;0,05;2,40;0,06;0,20;0,00
PORTO VELHO;0%;1%;49%;0%;50%;9%;51%;0%;1%;99%;0%;0%;99%;98%;98%;1%;25%;194;11125;994;17%;0,00%;;10131;83%;7888;70%;2226;13%;1%;59;14;24%;7%;18;2393;R$ 8.119.617,44;1,40;0,13;0,10;0,01;1,20;0,11;0,40;0,04;0,30;0,03
POTIGUARA;100%;0%;0%;0%;0%;0%;0%;0%;29%;0%;71%;0%;0%;0%;100%;0%;0%;34;16666;0;0%;0,00%;;16666;100%;70;3%;16596;97%;0%;35;34;96%;99%;1;616;R$ 319.500,00;1,50;0,09;0,30;0,02;1,50;0,09;0,70;0,04;0,10;0,01
RIO TAPAJÓS;4%;0%;17%;0%;33%;0%;79%;0%;8%;92%;0%;98%;0%;97%;90%;10%;0%;174;14466;5183;71%;0,00%;;9283;29%;1889;8%;6040;17%;1%;18;7;40%;4%;8;2561;R$ 4.258.463,75;1,00;0,07;0,20;0,01;1,10;0,08;2,70;0,19;0,60;0,04
TOCANTINS;0%;0%;10%;0%;88%;0%;2%;98%;0%;0%;100%;0%;97%;0%;97%;0%;0%;207;12993;2359;39%;0,00%;;10634;61%;1005;3%;8413;48%;8%;40;0;0%;0%;3;1555;R$ 3.717.781,97;0,90;0,07;1,80;0,14;1,60;0,12;1,40;0,11;0,30;0,02
VALE DO JAVARI;0%;0%;0%;0%;100%;0%;0%;74%;0%;100%;0%;0%;0%;100%;100%;0%;0%;66;6146;3992;82%;0,00%;;2154;18%;1076;9%;1078;9%;0%;8;1;13%;2%;;;;0,50;0,08;1,50;0,24;1,90;0,31;2,40;0,39;0,10;0,02
VILHENA;4%;35%;60%;0%;0%;0%;1%;0%;0%;99%;1%;99%;0%;99%;99%;0%;0%;164;6597;30;1%;0,60%;37;6530;99%;150;4%;6380;95%;0%;86;23;26%;14%;23;969;R$ 5.732.944,74;1,30;0,20;0,60;0,09;0,50;0,08;1,50;0,23;0,30;0,05
XAVANTE;0%;0%;0%;0%;100%;0%;0%;100%;4%;0%;96%;100%;0%;19%;94%;6%;0%;335;23739;2256;23%;0,00%;;21483;77%;19618;67%;1273;8%;0%;56;1;2%;0%;4;638;R$ 3.840.364,26;5,00;0,21;0,30;0,01;6,50;0,27;22,50;0,95;6,30;0,27
XINGU;0%;0%;0%;0%;99%;0%;100%;0%;0%;100%;0%;0%;0%;100%;100%;0%;80%;127;7981;497;28%;0,00%;;7484;72%;6548;57%;159;6%;9%;31;0;0%;0%;4;14309;R$ 1.584.659,82;0,50;0,06;0,40;0,05;1,10;0,14;0,30;0,04;0,10;0,01
YANOMAMI;0%;0%;0%;0%;100%;0%;0%;100%;0%;0%;100%;0%;100%;100%;100%;0%;0%;366;28229;19754;87%;0,00%;;8475;13%;7201;12%;1001;1%;1%;44;17;38%;5%;38;;R$ 2.117.823,00;10,20;0,36;5,30;0,19;2,30;0,08;27,20;0,96;0,80;0,03