UF;sg_uf;2023;2024
 Acre;AC;1834739838,67;2209207149,58
 Alagoas;AL;2604615883,44;3114440842,64
 Amapá;AM;1784881408,34;2140648440,47
 Amazonas;AM;4785289333,99;5320725709,03
 Bahia;BA;10095519840,35;11728326574,80
 Ceará;CE;6200946781,98;7157121793,00
 Espírito Santo;ES;4551653878,28;5202641295,70
 Goiás;GO;5015109525,66;5689112994,42
 Maranhão;MA;4247622924,92;4834765543,80
 Mato Grosso;MT;3960937841,35;4397090394,20
 Mato Grosso do Sul;MS;2442318485,40;2756262176,17
 Minas Gerais;MG;14154596135,27;14869129793,52
 Pará;PA;5219151579,49;5989385508,96
 Paraíba;PB;2719305275,50;3239253260,00
 Paraná;PR;8525090237,99;9551996096,59
 Pernambuco;PE;8849879116,62;9995370226,62
 Piauí;PI;2571762182,49;3017202190,56
 Rio de Janeiro;RJ;10794058338,11;13899802396,94
 Rio Grande do Norte;RN;2597792594,99;3003870262,97
 Rio Grande do Sul;RS;7572941293,78;8243622194,84
 Rondônia;RO;2276700875,56;2438298729,84
 Roraima;RR;1449328480,99;1678596899,21
 Santa Catarina;SP;35321891116,96;42618192267,27
 São Paulo;SC;6727548545,46;8054563810,20
 Sergipe;SE;2312070307,79;2985731428,44
 Tocantins;TO;2797889435,79;3214290376,24